1.000,1.000,0.000,0.000,0.376,-0.134
2.000,1.000,0.000,0.000,0.678,0.061
3.000,1.000,0.000,0.000,0.525,0.255
4.000,1.000,0.000,0.000,0.658,0.137
5.000,1.000,0.000,0.000,0.687,0.059
6.000,1.000,0.000,0.000,0.614,-0.160
7.000,1.000,0.000,0.000,0.933,0.012
8.000,1.000,0.000,0.000,0.765,-0.070
9.000,1.000,0.000,0.000,0.721,0.170
10.000,1.000,0.000,0.000,0.845,0.016
11.000,1.000,0.000,0.000,1.020,-0.193
12.000,1.000,0.000,0.000,0.584,0.103
13.000,1.000,0.000,0.000,0.863,-0.165
14.000,1.000,0.000,0.000,0.922,-0.227
15.000,1.000,0.000,0.000,0.801,-0.132
16.000,1.000,0.000,0.000,0.921,0.066
17.000,1.000,0.000,0.000,0.469,0.190
18.000,1.000,0.000,0.000,0.709,0.108
19.000,1.000,0.000,0.000,0.601,-0.263
20.000,1.000,0.000,0.000,0.344,0.094
21.000,1.000,0.000,0.000,1.103,-0.156
22.000,1.000,0.000,0.000,1.025,-0.052
23.000,1.000,0.000,0.000,0.687,0.009
24.000,1.000,0.000,0.000,0.403,-0.238
25.000,1.000,0.000,0.000,0.528,-0.232
26.000,1.000,0.000,0.000,1.085,-0.025
27.000,1.000,0.000,0.000,1.430,0.200
28.000,1.000,0.000,0.000,0.659,0.087
29.000,1.000,0.000,0.000,0.657,0.077
30.000,1.000,0.000,0.000,0.622,0.289
31.000,1.000,0.000,0.000,0.884,0.098
32.000,1.000,0.000,0.000,0.957,0.033
33.000,1.000,0.000,0.000,0.798,-0.104
34.000,1.000,0.000,0.000,1.052,0.092
35.000,1.000,0.000,0.000,1.212,0.039
36.000,1.000,0.000,0.000,0.948,0.191
37.000,1.000,0.000,0.000,0.606,0.267
38.000,1.000,0.000,0.000,0.866,-0.002
39.000,1.000,0.000,0.000,0.849,0.026
40.000,1.000,0.000,0.000,0.553,0.055
41.000,1.000,0.000,0.000,1.013,0.074
42.000,1.000,0.000,0.000,0.477,0.185
43.000,1.000,0.000,0.000,0.605,0.316
44.000,1.000,0.000,0.000,1.001,0.117
45.000,1.000,0.000,0.000,0.506,-0.102
46.000,1.000,0.000,0.000,0.394,-0.045
47.000,1.000,0.000,0.000,0.975,0.087
48.000,1.000,0.000,0.000,0.365,0.014
49.000,1.000,0.000,0.000,1.095,-0.184
50.000,1.000,0.000,0.000,0.454,0.071
51.000,1.000,0.000,0.000,0.764,-0.045
52.000,1.000,0.000,0.000,0.391,-0.015
53.000,1.000,0.000,0.000,0.905,-0.137
54.000,1.000,0.000,0.000,0.907,-0.121
55.000,1.000,0.000,0.000,1.134,0.222
56.000,1.000,0.000,0.000,0.750,0.046
57.000,1.000,0.000,0.000,0.737,0.023
58.000,1.000,0.000,0.000,1.175,0.241
